county,hpv_category,percent_utd
Sedgwick,hpv_female,0.23
Sedgwick,hpv_male,0.228
Summit,hpv_overall,0.507
Summit,hpv_female,0.544
Summit,hpv_male,0.473
Teller,hpv_overall,0.331
Teller,hpv_female,0.348
Teller,hpv_male,0.316
Washington,hpv_overall,0.519
Washington,hpv_female,0.573
Washington,hpv_male,0.476
Weld,hpv_overall,0.574
Weld,hpv_female,0.583
Weld,hpv_male,0.565
Yuma,hpv_overall,0.271
Yuma,hpv_female,0.306
Yuma,hpv_male,0.232
